"ref_id","fault_id","name"
4,"1003","Dutchman Draw fault"
5,"1073","West Spring Mountains fault"
6,"1079","Bare Mountain fault"
7,"1115","Sheep Basin fault"
8,"1116","Black Hills fault"
9,"1117","Frenchman Mountain fault"
10,"1118","California Wash fault"
11,"1121","Coyote Spring fault"
12,"1123","Kane Spring Wash fault"
13,"1124","Dry Lake fault"
14,"1130","Hiko fault zone"
15,"1132","Penoyer fault"
16,"1134","Dunn Glenn fault"
17,"1135","Grass Valley fault zone"
18,"1136abcd","Pleasant Valley fault zone"
19,"1137","Edna Mountain fault"
20,"1139","Buffalo Mountain fault"
21,"1140","Buffalo Valley fault zone"
22,"1142","Battle Mountain fault"
23,"1144","Jersey Valley fault zone"
24,"1148","Shoshone Range fault zone"
25,"1150","Sheep Creek Range southeastern fault"
26,"1151","Beowawe fault"
27,"1154","Marys Mountain fault"
28,"1155","Carico Lake Valley fault zone"
29,"1157ab","Cortez Mountain fault zone"
30,"1158","Northern Simpson Park Mountains fault zone"
31,"1161","Diamond Valley fault"
32,"1178","Simpson Park Mountains fault zone"
33,"1181","Northern Roberts Mountains fault"
34,"1187","Middlegate fault zone"
35,"1190","Clan Alpine fault zone"
36,"1191","Eastern Edwards Creek Valley fault zone"
37,"1192","Buffalo Creek fault zone"
38,"1193","Desatoya Mountains fault zone"
39,"1211","Western Diamond Mountains fault zone"
40,"1212","Diamond Mountains fault"
41,"1223","Jakes Valley fault zone"
42,"1241","Schell Creek Range fault system"
43,"1261","Antelope Range-Kingsley Mountains fault zone"
44,"1277","Butte Mountains fault zone"
45,"1285","Carson Range fault"
46,"1285_1654","Carson Range-Kings Canyon fault"
47,"1291abc","Smith Valley fault"
48,"1294","Singatse Range fault zone"
49,"1300","Wassuk Range fault zone"
50,"1302","Huntoon Valley fault system"
51,"1303","Unnamed faults"
52,"1304","Rattlesnake Flat fault"
53,"1307","Indian Head fault"
54,"1312","Hot Springs fault zone"
55,"1316","faults in Excelsior Mountains"
56,"1320","Benton Spring fault, southern section"
57,"1321","Paradise Range fault zone"
58,"1325","Monte Cristo Valley fault zone"
59,"1326","Bettles Well-Petrified Springs fault"
60,"1329","Emigrant Peak fault zone"
61,"1334","Ione Valley fault"
62,"1335","Southwest Reese River Valley fault"
296,"1336abcd","Western Toiyabe Range fault zone"
297,"1337","Toiyabe Range fault zone"
63,"1338","Lone Mountain fault zone"
64,"1340","Crescent Dunes fault"
65,"1349","Eastern Monitor Range fault zone"
66,"1351","Little Fish Lake Valley fault"
67,"1355","Kawich-Hot Creek Ranges fault zone"
298,"1380abc","Railroad Valley fault zone"
68,"1393","Golden Gate fault"
69,"1398","White River Valley fault zone"
70,"1472","Duck Flat fault"
71,"1485","Black Rock fault zone"
72,"1488","McGee Mountain fault zone"
73,"1494","Jackson Mountains fault zone"
74,"1495a","Eastern Pine Forest Range fault zone"
75,"1496","Eastern Bilk Creek Mountains fault zone"
76,"1501ab","Montana Mountains/Desert Valley fault zone"
77,"1507ab","Hoppin Peaks fault zone"
299,"1508ab","Santa Rosa fault system"
78,"1509","Bloody Run Hills fault"
79,"1523","Eastern Osgood Mountains fault zone"
80,"1531","Eastern Osgood Mountains piedmont fault"
81,"1553ab","Eastern Independence Valley fault zone"
82,"1554","Eastern Tuscarora Mountains fault zone"
83,"1573N","Ruby Mountains fault zone, north"
84,"1573S","Ruby Mountains fault zone, south"
85,"1582ab","Independence Valley fault zone"
86,"1601","Bonham Ranch fault zone"
87,"1602","Dry Valley-Smoke Creek Ranch fault zone"
88,"1605","Warm Springs Valley fault zone"
89,"1607","Eastern Pyramid Lake fault"
90,"1608","Fox Range fault zone"
91,"1610","Western Granite Range fault"
92,"1611","Eastern Granite Range fault"
93,"1613","San Emidio fault zone"
94,"1614","Nightingale Mountains fault"
95,"1617","Selenite Range fault zone"
96,"1622","Granite Springs Valley fault zone"
97,"1624","The Lava Beds fault"
98,"1627","Seven Troughs Range fault zone"
99,"1634","Eugene Mountains fault"
100,"1635","Western Humboldt Range fault zone"
101,"1638","Buena Vista Valley fault zone"
102,"1640","Petersen Mountain fault"
103,"1644","Peavine Peak fault zone"
104,"1647","Mount Rose fault zone"
105,"1648","Little Valley fault"
106,"1652","Indian Hill fault"
107,"1653","Carson City fault"
108,"1654","Kings Canyon fault zone"
109,"1656","Spanish Springs Valley fault"
110,"1657","Freds Mountain fault"
111,"1660","Spanish Springs Peak fault"
112,"1669","Pyramid Lake fault zone"
113,"1679","Rainbow Mountain fault zone"
114,"1685","Sand Springs Range fault"
